"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://www.onlinegamblingcanada.com/","1610","288","5,590","68,376","Normal","","","","","","","","","","en-CA","b5fc7c8feff2e0fef1f29c23eb07a572","Indexable",""
"https://www.onlinegamblingcanada.com/news/alberta-igaming-launch-what-it-means-for-players","1076","139","7,741","65,473","Normal","","","","","","","","","","en-CA","f5e9b58803d82a5e4ed68dbeb6d3bbf","Indexable",""
"https://www.onlinegamblingcanada.com/news/blackjack-strategy-guide-for-canadian-players","1193","156","7,647","80,222","Easy","","","","","","","","","","en-CA","33009412e9aa5c97000c41169e8eab54","Indexable",""
"https://www.onlinegamblingcanada.com/games/bingo","192","36","5,333","68,353","Normal","","","","","","","","","","en-CA","f0f4104b6a142a04ecbb4e8ebb4064cd","Indexable",""
"https://www.onlinegamblingcanada.com/reviews","644","143","4,503","71,292","Fairly Easy","","","","","","","","","","en-CA","541c42c0b1fd76a1cf6a15c8c81cad72","Indexable",""
"https://www.onlinegamblingcanada.com/games/blackjack","197","37","5,324","75,604","Fairly Easy","","","","","","","","","","en-CA","bf77039bfc77db2b91502ed271d535ca","Indexable",""
"https://www.onlinegamblingcanada.com/news","549","94","5,840","71,927","Fairly Easy","","","","","","","","","","en-CA","a5fc47dc8c5bfa6de49723e1bea3591c","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/cazimbo-sport","148","35","4,229","69,355","Normal","","","","","","","","","","en-CA","c6841c976c591a8ba42c4c3783626efd","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/draftkings-casino","155","36","4,306","60,555","Normal","","","","","","","","","","en-CA","83441719e69b22dc10808762a749ca7","Indexable",""
"https://www.onlinegamblingcanada.com/games/poker","193","36","5,361","71,206","Fairly Easy","","","","","","","","","","en-CA","c32a981ade9dca424c776f48a8cd728f","Indexable",""
"https://www.onlinegamblingcanada.com/news/nfl-2026-betting-guide-for-canadian-bettors","1147","141","8,135","76,067","Fairly Easy","","","","","","","","","","en-CA","44231439f654d1881e6ae31b6bcd96a4","Indexable",""
