"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://www.onlinegamblingcanada.com/reviews/cazimbo-sport","2","Cazimbo Sport at a glance","25","Our verdict","11","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/draftkings-casino","2","DraftKings Casino at a glance","29","Our verdict","11","Indexable",""
"https://www.onlinegamblingcanada.com/sports-betting/ontario","5","Is sports betting legal in Ontario?","35","How to sign up with an Ontario sportsbook","41","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/cazimbo-casino","2","Cazimbo Casino at a glance","26","Our verdict","11","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/campeonbet-sports","2","Campeonbet Sport at a glance","28","Our verdict","11","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/highroller-casino","2","Highroller Casino at a glance","29","Our verdict","11","Indexable",""
"https://www.onlinegamblingcanada.com/sports-betting/alberta","5","Is sports betting legal in Alberta?","35","How to sign up with an Alberta sportsbook","41","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/campobet-sports","2","Campobet Sports at a glance","27","Our verdict","11","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/888casino","2","888 Casino at a glance","22","Our verdict","11","Indexable",""
"https://www.onlinegamblingcanada.com/sports-betting","2","What to Consider When Picking a Sportsbook","42","What to expect from online sports betting in Canada","51","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/jackpotcity-casino","2","JackpotCity Casino at a glance","30","Our verdict","11","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/playojo-casino","3","Why players trust it","20","PlayOJO Casino at a glance","26","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/draftkings-sport","2","DraftKings Sport at a glance","28","Our verdict","11","Indexable",""
"https://www.onlinegamblingcanada.com/about","1","Meet the editorial team","23","","0","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/betinia-sports","6","Betinia in Canada and Ontario","29","Betting markets and live betting","32","Indexable",""
"https://www.onlinegamblingcanada.com/casino","2","What to Consider When Picking an Online Casino","46","Online casinos in Canada: what to expect","40","Indexable",""
"https://www.onlinegamblingcanada.com/crypto","2","Is crypto gambling legal in Canada?","35","Pros and cons","13","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/spin-casino","3","Games and jackpots","18","Spin Casino at a glance","23","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/riseofbets-casino","2","RiseOfBets Casino at a glance","29","Our verdict","11","Indexable",""
"https://www.onlinegamblingcanada.com/best-mobile-casinos-in-canada","3","What makes a great mobile casino?","33","Playing casino games on mobile in Canada","40","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/betbeast-sport","2","BetBeast Sport at a glance","26","Our verdict","11","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/bitkingz-casino","2","Bitkingz Casino at a glance","27","Our verdict","11","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/neospin-casino","4","Bonuses","7","Games and banking","17","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/lucky7even-casino","4","Games and software","18","Banking and support","19","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/888-poker-ontario","2","888 Poker Ontario at a glance","29","Our verdict","11","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/las-vegas-casino","3","Verdict","7","Las Vegas Casino at a glance","28","Indexable",""
"https://www.onlinegamblingcanada.com/top-10-most-searched-online-casino-games-in-canada","1","Learn to play — and play smart","30","","0","Indexable",""
"https://www.onlinegamblingcanada.com/ontario-casino-apps","2","Why Ontario is different","24","App or mobile browser?","22","Indexable",""
