"Address","Status Code","Status","HTML Word Count","Rendered HTML Word Count","Word Count Change","JS Word Count %","HTML Title","Rendered HTML Title","HTML H1","Rendered HTML H1","HTML Meta Description","Rendered HTML Meta Description","HTML Canonical","Rendered HTML Canonical","Unique Inlinks","Unique JS Inlinks","Unique Outlinks","Unique JS Outlinks","Unique External Outlinks","Unique External JS Outlinks","HTML Meta Robots 1","Rendered HTML Meta Robots 1","Pretty URL","Ugly URL","JS Error","JS Warning","JS Info","JS Debug","JS Issue"
"https://www.onlinegamblingcanada.com/","200","OK","1610","0","","","Online Gambling Canada — Sportsbooks & Online Casinos Canada 2025","","Top Legal Online Betting Sites for Canada 2025","","Discover top-rated online casinos and sportsbooks in Canada. Expert reviews, gambling news, and guides for safe, legal online betting.","","https://www.onlinegamblingcanada.com/","","55","0","37","0","10","0","index, follow, max-image-preview:large","","https://www.onlinegamblingcanada.com/","https://www.onlinegamblingcanada.com/","","","","",""
"https://www.onlinegamblingcanada.com/news/alberta-igaming-launch-what-it-means-for-players","200","OK","1076","0","","","Alberta's iGaming Launch: What It Means for Players | Online Gambling Canada","","Alberta's iGaming Launch: What It Means for Players","","Alberta has opened its regulated online gambling market to private operators. Here is what the new framework changes for Canadian players and how to bet safely.","","https://www.onlinegamblingcanada.com/news/alberta-igaming-launch-what-it-means-for-players","","3","0","25","0","0","0","index, follow, max-image-preview:large","","https://www.onlinegamblingcanada.com/news/alberta-igaming-launch-what-it-means-for-players","https://www.onlinegamblingcanada.com/news/alberta-igaming-launch-what-it-means-for-players","","","","",""
"https://www.onlinegamblingcanada.com/news/blackjack-strategy-guide-for-canadian-players","200","OK","1193","0","","","Blackjack Strategy Guide for Canadian Players | Online Gambling Canada","","Blackjack Strategy Guide for Canadian Players","","A clear blackjack strategy guide for Canadian players: how basic strategy works, which bets to avoid, and how to lower the house edge on every hand.","","https://www.onlinegamblingcanada.com/news/blackjack-strategy-guide-for-canadian-players","","4","0","27","0","0","0","index, follow, max-image-preview:large","","https://www.onlinegamblingcanada.com/news/blackjack-strategy-guide-for-canadian-players","https://www.onlinegamblingcanada.com/news/blackjack-strategy-guide-for-canadian-players","","","","",""
"https://www.onlinegamblingcanada.com/games/bingo","200","OK","192","0","","","Best Online Bingo Sites for Canadians 2025 | Online Gambling Canada","","Best Online Bingo Sites for Canadians 2025","","A social, low-stakes favourite. Discover the best rooms, chat games and jackpot bingo for Canadians.","","https://www.onlinegamblingcanada.com/games/bingo","","55","0","25","0","3","0","index, follow, max-image-preview:large","","https://www.onlinegamblingcanada.com/games/bingo","https://www.onlinegamblingcanada.com/games/bingo","","","","",""
"https://www.onlinegamblingcanada.com/reviews","200","OK","644","0","","","Independent Online Casino & Sportsbook Reviews (2025) | Online Gambling Canada","","Online Sportsbook & Casino Reviews","","Independent, expert reviews and ratings of online casinos and sportsbooks for Canadian players — covering licensing, payouts, games, support and security.","","https://www.onlinegamblingcanada.com/reviews","","55","0","38","0","13","0","index, follow, max-image-preview:large","","https://www.onlinegamblingcanada.com/reviews","https://www.onlinegamblingcanada.com/reviews","","","","",""
"https://www.onlinegamblingcanada.com/games/blackjack","200","OK","197","0","","","The Basics of Blackjack | Online Gambling Canada","","The Basics of Blackjack","","Master basic strategy to bring blackjack’s house edge down to under 1% — one of the best odds in any casino.","","https://www.onlinegamblingcanada.com/games/blackjack","","55","0","25","0","3","0","index, follow, max-image-preview:large","","https://www.onlinegamblingcanada.com/games/blackjack","https://www.onlinegamblingcanada.com/games/blackjack","","","","",""
"https://www.onlinegamblingcanada.com/news","200","OK","549","0","","","Canadian Online Gambling News & Market Updates | Online Gambling Canada","","Canadian Gambling News","","The latest online gambling news for Canada — casino launches, sports betting trends, regulation updates and provincial market data.","","https://www.onlinegamblingcanada.com/news","","55","0","39","0","0","0","index, follow, max-image-preview:large","","https://www.onlinegamblingcanada.com/news","https://www.onlinegamblingcanada.com/news","","","","",""
"https://www.onlinegamblingcanada.com/reviews/cazimbo-sport","200","OK","148","0","","","Cazimbo Sport Review 2025 — Bonus, Rating & Verdict | Online Gambling Canada","","Cazimbo Sport Review","","Our expert Cazimbo Sport review for Canadian players: 100% up to $150. Rated 4.3/5 for licensing, sportsbook quality, banking and support.","","https://www.onlinegamblingcanada.com/reviews/cazimbo-sport","","5","0","24","0","1","0","index, follow, max-image-preview:large","","https://www.onlinegamblingcanada.com/reviews/cazimbo-sport","https://www.onlinegamblingcanada.com/reviews/cazimbo-sport","","","","",""
"https://www.onlinegamblingcanada.com/reviews/draftkings-casino","200","OK","155","0","","","DraftKings Casino Review 2025 — Bonus, Rating & Verdict | Online Gambling Canada","","DraftKings Casino Review","","Our expert DraftKings Casino review for Canadian players: New player casino offer. Rated 4.8/5 for licensing, casino quality, banking and support.","","https://www.onlinegamblingcanada.com/reviews/draftkings-casino","","5","0","24","0","1","0","index, follow, max-image-preview:large","","https://www.onlinegamblingcanada.com/reviews/draftkings-casino","https://www.onlinegamblingcanada.com/reviews/draftkings-casino","","","","",""
"https://www.onlinegamblingcanada.com/games/poker","200","OK","193","0","","","Best Online Poker Sites in Canada 2025 | Online Gambling Canada","","Best Online Poker Sites in Canada 2025","","A game of skill against other players. Find soft cash games, big tournaments and Ontario-regulated rooms.","","https://www.onlinegamblingcanada.com/games/poker","","55","0","25","0","3","0","index, follow, max-image-preview:large","","https://www.onlinegamblingcanada.com/games/poker","https://www.onlinegamblingcanada.com/games/poker","","","","",""
"https://www.onlinegamblingcanada.com/news/nfl-2026-betting-guide-for-canadian-bettors","200","OK","1147","0","","","NFL 2026 Betting Guide for Canadian Bettors | Online Gambling Canada","","NFL 2026 Betting Guide for Canadian Bettors","","Your NFL 2026 betting guide for Canada: the key markets, where the value hides, bankroll tips and how to line shop across the top Canadian sportsbooks.","","https://www.onlinegamblingcanada.com/news/nfl-2026-betting-guide-for-canadian-bettors","","3","0","25","0","0","0","index, follow, max-image-preview:large","","https://www.onlinegamblingcanada.com/news/nfl-2026-betting-guide-for-canadian-bettors","https://www.onlinegamblingcanada.com/news/nfl-2026-betting-guide-for-canadian-bettors","","","","",""
